time 600 560 0,abs 600 560 0,old_name,new_name
38.5954671,0.176,,
38.6951164,0.176,,
38.7952778,0.176,,
38.8951068,0.177,,
38.9952271,0.176,,
39.098173,0.178,,
39.1951115,0.177,,
39.2952405,0.177,,
39.3951649,0.177,,
39.4970528,0.177,,
39.5951681,0.176,,
39.6952633,0.178,,
39.7951161,0.177,,
39.8949985,0.177,,
39.9951073,0.177,,
40.0951432,0.177,,
40.1949748,0.177,,
40.2952621,0.177,,
40.3951389,0.176,,
40.4949335,0.177,,
40.5969136,0.177,,
40.6948809,0.177,,
40.7950279,0.177,,
40.8950464,0.178,,
40.9995652,0.177,,
41.0970355,0.178,,
41.1950225,0.178,,
41.2999197,0.177,,
41.3948319,0.177,,
41.496658,0.177,,
41.5949099,0.177,,
41.6947935,0.178,,
41.7978417,0.176,,
41.8948633,0.178,,
41.9949355,0.177,,
42.0950865,0.178,,
42.1979697,0.177,,
42.2950272,0.178,,
42.3948908,0.177,,
42.4967609,0.178,,
42.6109509,0.177,,
42.694852,0.177,,
42.7948527,0.177,,
42.8948447,0.177,,
42.9970649,0.177,,
43.0962564,0.178,,
43.1948477,0.179,,
43.2947487,0.177,,
43.3946975,0.179,,
43.494701,0.178,,
43.5968235,0.178,,
43.6947187,0.178,,
43.7952399,0.178,,
43.8968509,0.178,,
43.9965783,0.178,,
44.0947543,0.177,,
44.1947182,0.178,,
44.2963979,0.178,,
44.3962935,0.178,,
44.4948334,0.177,,
44.5964777,0.178,,
44.6946507,0.178,,
44.7947143,0.178,,
44.8946226,0.178,,
44.9945437,0.178,,
45.0946593,0.178,,
45.1944623,0.178,,
45.2948382,0.178,,
45.3965983,0.178,,
45.4963987,0.177,,
45.5946533,0.178,,
45.6946778,0.178,,
45.79628,0.178,,
45.9115066,0.178,,
45.9944253,0.177,,
46.0949195,0.178,,
46.1960092,0.178,,
46.2945031,0.178,,
46.3949888,0.178,,
46.4943959,0.178,,
46.594517,0.178,,
46.6968576,0.179,,
46.794372,0.178,,
46.8964061,0.178,,
46.9945482,0.178,,
47.0947408,0.178,,
47.1944479,0.178,,
47.2960374,0.179,,
47.3964982,0.178,,
47.4966688,0.178,,
47.5960488,0.177,,
47.6944962,0.178,,
47.7943053,0.178,,
47.8945018,0.178,,
47.9942723,0.179,,
48.0942916,0.179,,
48.1942956,0.178,,
48.2942861,0.179,,
48.3943604,0.179,,
48.4954111,0.179,,
48.5947217,0.179,,
48.6947336,0.179,,
48.7947058,0.178,,
48.8947031,0.178,,
48.9943845,0.178,,
49.0943143,0.179,,
49.1940991,0.179,,
49.2944646,0.179,,
49.3941503,0.179,,
49.4941985,0.178,,
49.5942285,0.178,,
49.6942047,0.178,,
49.7941459,0.179,,
49.8961298,0.178,,
49.9959032,0.179,,
50.0942632,0.178,,
50.1943762,0.18,,
50.2971392,0.179,,
50.3960537,0.179,,
50.4944489,0.179,,
50.5941899,0.179,,
50.6941219,0.179,,
50.7965836,0.179,,
50.89405,0.179,,
50.9939097,0.178,,
51.0940962,0.178,,
51.1940558,0.179,,
51.2940013,0.179,,
51.3938474,0.179,,
51.4940522,0.179,,
51.5939249,0.179,,
51.6941159,0.178,,
51.7943051,0.179,,
51.8960546,0.179,,
51.9940276,0.179,,
52.0966096,0.179,,
52.1958831,0.179,,
52.293874,0.179,,
52.3938551,0.179,,
52.4947514,0.178,,
52.5939619,0.179,,
52.6939601,0.179,,
52.7940324,0.179,,
52.8970102,0.179,,
52.9938534,0.179,,
53.0940157,0.18,,
53.1932993,0.179,,
53.2933773,0.179,,
53.3929908,0.179,,
53.4927972,0.178,,
53.59278,0.179,,
53.6968321,0.179,,
53.7927876,0.179,,
53.8928258,0.18,,
53.9927956,0.179,,
54.0928908,0.179,,
54.19286,0.179,,
54.2928247,0.18,,
54.3927928,0.178,,
54.4928731,0.178,,
54.5928002,0.179,,
54.6927097,0.179,,
54.7929386,0.179,,
54.8927441,0.179,,
54.9926949,0.18,,
55.0927121,0.179,,
55.1927296,0.18,,
55.2932966,0.18,,
55.3928038,0.179,,
55.4927199,0.179,,
55.5926505,0.179,,
55.6979737,0.179,,
55.7926711,0.179,,
55.8927071,0.179,,
55.992717,0.179,,
56.0929644,0.18,,
56.1927316,0.18,,
56.2926452,0.179,,
56.3925999,0.179,,
56.4926079,0.179,,
56.592618,0.18,,
56.6925846,0.18,,
56.7925416,0.179,,
56.8925785,0.378,,
56.9926203,1.797,,
57.0925177,2.004,,
57.1925635,2.085,,
57.2930715,2.146,,
57.392527,2.195,,
57.4924908,2.223,,
57.5924797,2.248,,
57.6924385,2.23,,
57.7924969,2.238,,
57.8933745,2.264,,
57.9989883,2.256,,
58.0924144,2.224,,
58.1933669,2.279,,
58.2923971,2.267,,
58.3924976,2.277,,
58.4923924,2.274,,
58.5924083,2.253,,
58.6923892,2.259,,
58.7924034,2.254,,
58.8923872,2.254,,
58.9928397,2.255,,
59.0923169,2.276,,
59.1924163,2.254,,
59.2923226,2.24,,
59.3923908,2.286,,
59.4929065,2.283,,
59.5923141,2.273,,
59.6928449,2.249,,
59.7921942,2.253,,
59.8921984,2.257,,
59.9922319,2.265,,
60.092289,2.274,,
60.1922335,2.277,,
60.2922044,2.275,,
60.3922096,2.274,,
60.49292,2.245,,
60.5921992,2.29,,
60.6921446,2.278,,
60.7927263,2.29,,
60.8921822,2.26,,
60.9931964,2.261,,
61.0929272,2.259,,
61.1943083,2.27,,
61.2930572,2.275,,
61.3932496,2.257,,
61.4935114,2.243,,
61.5929969,2.274,,
61.6935018,2.276,,
61.7946083,2.276,,
61.8930053,2.265,,
61.9929849,2.282,,
62.0931594,2.251,,
62.19298,2.283,,
62.2929988,2.252,,
62.3943114,2.298,,
62.4955311,2.247,,
62.5930877,2.26,,
62.692946,2.281,,
62.7959036,2.279,,
62.8933254,2.246,,
62.9933299,2.269,,
63.0930135,2.288,,
63.1928908,2.273,,
63.2950459,2.262,,
63.3932553,2.252,,
63.4927059,2.233,,
63.5928477,2.271,,
63.6929326,2.246,,
63.7929305,2.298,,
63.8948766,2.268,,
63.9927981,2.273,,
64.0946671,2.272,,
64.1929538,2.272,,
64.2949352,2.278,,
64.392889,2.283,,
64.4932006,2.27,,
64.5928804,2.267,,
64.6929099,2.249,,
64.7927888,2.248,,
64.8931263,2.274,,
64.9943621,2.252,,
65.0927296,2.248,,
65.1928358,2.272,,
65.2927781,2.244,,
65.3927507,2.249,,
65.4926485,2.238,,
65.5944647,2.267,,
65.6951954,2.245,,
65.7981957,2.234,,
65.8931447,2.266,,
65.9926472,2.263,,
66.0928958,2.255,,
66.1931522,2.268,,
66.2926236,2.253,,
66.3926291,2.304,,
66.4925981,2.297,,
66.5927494,2.267,,
66.6925832,2.305,,
66.7925812,2.279,,
66.892707,2.282,,
66.9927183,2.293,,
67.0926527,2.266,,
67.192531,2.273,,
67.2927214,2.278,,
67.3930508,2.235,,
67.4926145,2.275,,
67.5928695,2.276,,
67.6954002,2.302,,
67.7926277,2.275,,
67.8924606,2.267,,
67.9924642,2.255,,
68.0949363,2.258,,
68.1924366,2.269,,
68.292528,2.263,,
68.3925935,2.268,,
68.4925824,2.263,,
68.5939699,2.288,,
68.6923621,2.247,,
68.7924265,2.267,,
68.8927819,2.239,,
68.9928441,2.25,,
69.0925122,2.287,,
69.1924955,2.265,,
69.2922379,2.237,,
69.3926992,2.255,,
69.4928921,2.301,,
69.5923003,2.285,,
69.6923449,2.232,,
69.792326,2.257,,
69.8924067,2.261,,
69.9944309,2.244,,
70.0935484,2.232,,
70.1949116,2.32,,
70.2922302,2.272,,
70.3924885,2.278,,
70.4941861,2.297,,
70.5923979,2.295,,
70.692358,2.284,,
70.7923287,2.291,,
70.8922672,2.256,,
70.992299,2.263,,
71.0950559,2.26,,
71.1923108,2.259,,
71.2937113,2.27,,
71.3922795,2.277,,
71.4921492,2.289,,
71.5922787,2.282,,
71.692181,2.319,,
71.7941576,2.256,,
71.8921441,2.267,,
71.9944811,2.264,,
72.0942904,2.267,,
72.1922608,2.238,,
72.2922161,2.271,,
72.3953683,2.265,,
72.4920089,2.29,,
72.5924468,2.292,,
72.6920008,2.294,,
72.792022,2.283,,
72.8920563,2.25,,
72.9942823,2.248,,
73.0920012,2.302,,
73.19212,2.277,,
73.2921443,2.24,,
73.3924336,2.286,,
73.4919739,2.244,,
73.5942468,2.215,,
73.692086,2.262,,
73.7948489,2.27,,
73.8920533,2.266,,
73.9921182,2.268,,
74.0918658,2.253,,
74.1920126,2.244,,
74.2919051,2.266,,
74.3918745,2.294,,
74.4918753,2.26,,
74.5919485,2.294,,
74.6936226,2.283,,
74.7919473,2.285,,
74.8933721,2.246,,
74.9919517,2.278,,
75.0917266,2.302,,
75.1919028,2.307,,
75.2921701,2.269,,
75.3940634,2.303,,
75.4918891,2.269,,
75.5937337,2.277,,
75.6917429,2.263,,
75.7922725,2.244,,
75.8918686,2.262,,
75.9918673,2.289,,
76.0917847,2.295,,
76.1917319,2.286,,
76.297341,2.269,,
76.3916796,2.279,,
76.491694,2.249,,
76.5920951,2.27,,
76.6917459,2.275,,
76.7917599,2.273,,
76.8917691,2.261,,
76.9920921,2.273,,
77.0917211,2.274,,
77.191615,2.306,,
77.2915862,2.26,,
77.3926004,2.277,,
77.4919683,2.256,,
77.5917674,2.264,,
77.6917056,2.277,,
77.7931484,2.275,,
77.8937787,2.264,,
77.9917487,2.29,,
78.0916191,2.265,,
78.1917166,2.233,,
78.2919525,2.276,,
78.3914785,2.266,,
78.4915269,2.239,,
78.591454,2.244,,
78.6918406,2.272,,
78.7909378,2.237,,
78.8914747,2.288,,
78.9914315,2.26,,
79.0915773,2.281,,
79.1914086,2.289,,
79.2929389,2.233,,
79.3921146,2.277,,
79.4935687,2.283,,
79.5913762,2.271,,
79.6934635,2.3,,
79.791502,2.283,,
79.8914443,2.293,,
79.9914452,2.279,,
80.093303,2.287,,
80.1917412,2.306,,
80.2914352,2.274,,
80.3913431,2.303,,
80.4912722,2.268,,
80.5912903,2.265,,
80.6930941,2.281,,
80.7914138,2.259,,
80.8912799,2.256,,
80.9913832,2.3,,
81.0933331,2.258,,
81.1914702,2.289,,
81.2933673,2.261,,
81.3913549,2.265,,
81.4941943,2.254,,
81.5913181,2.285,,
81.6912678,2.279,,
81.7913187,2.287,,
81.8973221,2.272,,
81.9911903,2.321,,
82.0937102,2.259,,
82.1911517,2.283,,
82.2912758,2.282,,
82.3912138,2.296,,
82.4912453,2.296,,
82.5912733,2.295,,
82.6910644,2.271,,
82.7910903,2.31,,
82.8912013,2.253,,
82.9912223,2.265,,
83.0911805,2.25,,
83.1931847,2.271,,
83.2912159,2.271,,
83.3931773,2.268,,
83.4924258,2.27,,
83.5910544,2.291,,
83.6911805,2.296,,
83.7912433,2.248,,
83.890991,2.269,,
83.9910811,2.284,,
84.0912055,2.298,,
84.1929453,2.275,,
84.2910565,2.289,,
84.3909246,2.3,,
84.4910449,2.255,,
84.5914105,2.268,,
84.7203225,2.288,,
84.7928355,2.28,,
84.8909293,2.271,,
84.9929078,2.276,,
85.0909278,2.279,,
85.192375,2.282,,
85.2907905,2.268,,
85.3908471,2.288,,
85.4908885,2.297,,
85.5909635,2.286,,
85.6908089,2.252,,
85.7940933,2.272,,
85.891486,2.309,,
85.9959474,2.283,,
86.0925511,2.277,,
86.1928929,2.276,,
86.290832,2.266,,
86.3928014,2.28,,
86.4907991,2.287,,
86.5908905,2.256,,
86.6907573,2.274,,
86.7906814,2.26,,
86.8907424,2.248,,
86.9907457,2.265,,
87.0908522,2.25,,
87.1906337,2.311,,
87.2910215,2.277,,
87.3908689,2.287,,
87.492273,2.285,,
87.6060648,2.253,,
87.6907854,2.263,,
87.7909882,2.263,,
87.8906394,2.259,,
87.9911127,2.255,,
88.0905909,2.284,,
88.1957955,2.29,,
88.2905968,2.265,,
88.3920188,2.264,,
88.4906256,2.253,,
88.5918889,2.278,,
88.6905599,2.252,,
88.7905465,2.276,,
88.8907087,2.247,,
